SeqID;Isolate_Id;Isolate_Name;subtype;Location;lat;lon;Host;Collection_Date;Animal_Specimen_Source;Animal_Health_Status;Domestic_Status;;
>EPI_ISL_13369745|A/chicken/England/056017/2021|A_/_H5N1;EPI_ISL_13369745;A/chicken/England/056017/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-10;;;;;
>EPI_ISL_13369746|A/chicken/England/057016/2021|A_/_H5N1;EPI_ISL_13369746;A/chicken/England/057016/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-12;;;;;
>EPI_ISL_13369747|A/Barnacle_goose/England/108089/2021|A_/_H5N1;EPI_ISL_13369747;A/Barnacle_goose/England/108089/2021;A / H5N1;Europe / United Kingdom / England;;;Branta leucopsis;2021-11-12;;;;;
>EPI_ISL_13369748|A/mute_swan/England/108094/2021|A_/_H5N1;EPI_ISL_13369748;A/mute_swan/England/108094/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-12;;;;;
>EPI_ISL_13369753|A/barnacle_goose/Scotland/292583/2021|A_/_H5N1;EPI_ISL_13369753;A/barnacle_goose/Scotland/292583/2021;A / H5N1;Europe / United Kingdom / Scotland;;;Branta leucopsis;2021-11-12;;;;;
>EPI_ISL_13369754|A/mute_swan/England/243983/2021|A_/_H5N1;EPI_ISL_13369754;A/mute_swan/England/243983/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-13;;;;;
>EPI_ISL_13369755|A/Pink-footed_goose/England/243989/2021|A_/_H5N1;EPI_ISL_13369755;A/Pink-footed_goose/England/243989/2021;A / H5N1;Europe / United Kingdom / England;;;Anser brachyrhynchus;2021-11-13;;;;;
>EPI_ISL_13369762|A/barnacle_goose/England/061307/2021|A_/_H5N1;EPI_ISL_13369762;A/barnacle_goose/England/061307/2021;A / H5N1;Europe / United Kingdom / England;;;Branta leucopsis;2021-11-17;;;;;
>EPI_ISL_13369763|A/turkey/England/059231/2021|A_/_H5N1;EPI_ISL_13369763;A/turkey/England/059231/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-11-19;;;;;
>EPI_ISL_13369764|A/domestic_goose/England/059141/2021|A_/_H5N1;EPI_ISL_13369764;A/domestic_goose/England/059141/2021;A / H5N1;Europe / United Kingdom / England;;;Anser anser domesticus;2021-11-19;;;;;
>EPI_ISL_13369766|A/barnacle_goose/Scotland/062007/2021|A_/_H5N1;EPI_ISL_13369766;A/barnacle_goose/Scotland/062007/2021;A / H5N1;Europe / United Kingdom / Scotland;;;Branta leucopsis;2021-11-19;;;;;
>EPI_ISL_13369767|A/turkey/England/059407/2021|A_/_H5N1;EPI_ISL_13369767;A/turkey/England/059407/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-11-20;;;;;
>EPI_ISL_13369768|A/turkey/England/059498/2021|A_/_H5N1;EPI_ISL_13369768;A/turkey/England/059498/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-11-20;;;;;
>EPI_ISL_13369769|A/chicken/England/59973/2021|A_/_H5N1;EPI_ISL_13369769;A/chicken/England/59973/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-20;;;;;
>EPI_ISL_13369771|A/turkey/England/059870/2021|A_/_H5N1;EPI_ISL_13369771;A/turkey/England/059870/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-11-21;;;;;
>EPI_ISL_13369772|A/chicken/England/061210/2021|A_/_H5N1;EPI_ISL_13369772;A/chicken/England/061210/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-22;;;;;
>EPI_ISL_13369777|A/chicken/England/062137/2021|A_/_H5N1;EPI_ISL_13369777;A/chicken/England/062137/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-25;;;;;
>EPI_ISL_13369781|A/chicken/Northern_Ireland/17463/2021|A_/_H5N1;EPI_ISL_13369781;A/chicken/Northern_Ireland/17463/2021;A / H5N1;Europe / United Kingdom / Northern Ireland;;;Gallus gallus domesticus;2021-12-01;;;;;
>EPI_ISL_13369782|A/turkey/England/062369/2021|A_/_H5N1;EPI_ISL_13369782;A/turkey/England/062369/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-11-27;;;;;
>EPI_ISL_13369783|A/canada_goose/England/300363/2021|A_/_H5N1;EPI_ISL_13369783;A/canada_goose/England/300363/2021;A / H5N1;Europe / United Kingdom / England;;;Branta canadensis;2021-11-27;;;;;
>EPI_ISL_13369784|A/chicken/England/063664/2021|A_/_H5N1;EPI_ISL_13369784;A/chicken/England/063664/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-28;;;;;
>EPI_ISL_13370248|A/domestic_duck/Wales/061914/2021|A_/_H5N1;EPI_ISL_13370248;A/domestic_duck/Wales/061914/2021;A / H5N1;Europe / United Kingdom / Wales;;;Anas platyrhynchos;2021-11-23;;;;;
>EPI_ISL_13370419|A/chicken/England/064357/2021|A_/_H5N1;EPI_ISL_13370419;A/chicken/England/064357/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-01;;;;;
>EPI_ISL_13370420|A/chicken/England/064233/2021|A_/_H5N1;EPI_ISL_13370420;A/chicken/England/064233/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-01;;;;;
>EPI_ISL_13370505|A/kestrel/England/244611/2021|A_/_H5N1;EPI_ISL_13370505;A/kestrel/England/244611/2021;A / H5N1;Europe / United Kingdom / England;;;Falco tinnunculus;2021-12-01;;;;;
>EPI_ISL_13370507|A/turkey/England/064661/2021|A_/_H5N1;EPI_ISL_13370507;A/turkey/England/064661/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-12-02;;;;;
>EPI_ISL_13370508|A/mute_swan/England/244635/2021|A_/_H5N1;EPI_ISL_13370508;A/mute_swan/England/244635/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-12-02;;;;;
>EPI_ISL_13370514|A/chicken/England/065487/2021|A_/_H5N1;EPI_ISL_13370514;A/chicken/England/065487/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-04;;;;;
>EPI_ISL_13370515|A/chicken/England/066019/2021|A_/_H5N1;EPI_ISL_13370515;A/chicken/England/066019/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-04;;;;;
>EPI_ISL_13370518|A/chicken/England/066782/2021|A_/_H5N1;EPI_ISL_13370518;A/chicken/England/066782/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-05;;;;;
>EPI_ISL_13370520|A/mute_swan/England/244574/2021|A_/_H5N1;EPI_ISL_13370520;A/mute_swan/England/244574/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-12-06;;;;;
>EPI_ISL_13370523|A/chicken/England/067219/2021|A_/_H5N1;EPI_ISL_13370523;A/chicken/England/067219/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-08;;;;;
>EPI_ISL_13370524|A/turkey/England/067429/2021|A_/_H5N1;EPI_ISL_13370524;A/turkey/England/067429/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-12-08;;;;;
>EPI_ISL_13370558|A/chicken/England/068375/2021|A_/_H5N1;EPI_ISL_13370558;A/chicken/England/068375/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-09;;;;;
>EPI_ISL_13370569|A/chicken/England/069549/2021|A_/_H5N1;EPI_ISL_13370569;A/chicken/England/069549/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-11;;;;;
>EPI_ISL_13370570|A/chicken/England/070105/2021|A_/_H5N1;EPI_ISL_13370570;A/chicken/England/070105/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-11;;;;;
>EPI_ISL_13370573|A/chicken/England/070277/2021|A_/_H5N1;EPI_ISL_13370573;A/chicken/England/070277/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-13;;;;;
>EPI_ISL_13370603|A/chicken/England/070359/2021|A_/_H5N1;EPI_ISL_13370603;A/chicken/England/070359/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-13;;;;;
>EPI_ISL_13370604|A/chicken/England/070810/2021|A_/_H5N1;EPI_ISL_13370604;A/chicken/England/070810/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-13;;;;;
>EPI_ISL_13370608|A/chicken/England/072084/2021|A_/_H5N1;EPI_ISL_13370608;A/chicken/England/072084/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-15;;;;;
>EPI_ISL_13370609|A/chicken/England/071631/2021|A_/_H5N1;EPI_ISL_13370609;A/chicken/England/071631/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-15;;;;;
>EPI_ISL_13370610|A/chicken/England/072132/2021|A_/_H5N1;EPI_ISL_13370610;A/chicken/England/072132/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-15;;;;;
>EPI_ISL_13370612|A/chicken/England/072378/2021|A_/_H5N1;EPI_ISL_13370612;A/chicken/England/072378/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-16;;;;;
>EPI_ISL_13370613|A/chicken/England/073008/2021|A_/_H5N1;EPI_ISL_13370613;A/chicken/England/073008/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-12-17;;;;;
>EPI_ISL_13370621|A/turkey/England/075992/2021|A_/_H5N1;EPI_ISL_13370621;A/turkey/England/075992/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-12-27;;;;;
>EPI_ISL_13370625|A/domestic_duck/England/076401/2021|A_/_H5N1;EPI_ISL_13370625;A/domestic_duck/England/076401/2021;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2021-12-30;;;;;
>EPI_ISL_13370626|A/turkey/England/076717/2021|A_/_H5N1;EPI_ISL_13370626;A/turkey/England/076717/2021;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2021-12-30;;;;;
>EPI_ISL_13370628|A/mute_swan/England/244639/2021|A_/_H5N1;EPI_ISL_13370628;A/mute_swan/England/244639/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-12-31;;;;;
>EPI_ISL_13370631|A/domestic_duck/England/000357/2022|A_/_H5N1;EPI_ISL_13370631;A/domestic_duck/England/000357/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-01-02;;;;;
>EPI_ISL_13370632|A/chicken/England/000095/2022|A_/_H5N1;EPI_ISL_13370632;A/chicken/England/000095/2022;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2022-01-02;;;;;
>EPI_ISL_13370633|A/turkey/England/000733/2022|A_/_H5N1;EPI_ISL_13370633;A/turkey/England/000733/2022;A / H5N1;Europe / United Kingdom / England;;;Meleagris gallopavo;2022-01-04;;;;;
>EPI_ISL_13370634|A/chicken/England/002376/2022|A_/_H5N1;EPI_ISL_13370634;A/chicken/England/002376/2022;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2022-01-08;;;;;
>EPI_ISL_13370679|A/common_gull/England/245481/2022|A_/_H5N1;EPI_ISL_13370679;A/common_gull/England/245481/2022;A / H5N1;Europe / United Kingdom / England;;;Larus canus;2022-01-08;;;;;
>EPI_ISL_13370694|A/Domestic_goose/England/006847/2022|A_/_H5N1;EPI_ISL_13370694;A/Domestic_goose/England/006847/2022;A / H5N1;Europe / United Kingdom / England;;;Anser anser domesticus;2022-01-19;;;;;
>EPI_ISL_13370703|A/domestic_duck/England/012247/2022|A_/_H5N1;EPI_ISL_13370703;A/domestic_duck/England/012247/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-02-03;;;;;
>EPI_ISL_13370704|A/chicken/England/014330/2022|A_/_H5N1;EPI_ISL_13370704;A/chicken/England/014330/2022;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2022-02-12;;;;;
