SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_158348|A/mallard/Sweden/80063/2008|A_/_H4N6;EPI_ISL_158348;A/mallard/Sweden/80063/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-18;;;
>EPI_ISL_158350|A/mallard/Sweden/80078/2008|A_/_H4N6;EPI_ISL_158350;A/mallard/Sweden/80078/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-18;;;
>EPI_ISL_158353|A/mallard/Sweden/80114/2008|A_/_H4N2;EPI_ISL_158353;A/mallard/Sweden/80114/2008;A / H4N2;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158354|A/mallard/Sweden/80127/2008|A_/_H4N6;EPI_ISL_158354;A/mallard/Sweden/80127/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158355|A/mallard/Sweden/80148/2008|A_/_H4N6;EPI_ISL_158355;A/mallard/Sweden/80148/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158357|A/mallard/Sweden/79308/2008|A_/_H4N2;EPI_ISL_158357;A/mallard/Sweden/79308/2008;A / H4N2;Europe / Sweden;;;Anas platyrhynchos;2008-11-14;;;
>EPI_ISL_158358|A/mallard/Sweden/80173/2008|A_/_H4N6;EPI_ISL_158358;A/mallard/Sweden/80173/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158359|A/mallard/Sweden/80185/2008|A_/_H4N6;EPI_ISL_158359;A/mallard/Sweden/80185/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158363|A/mallard/Sweden/80260/2008|A_/_H4N6;EPI_ISL_158363;A/mallard/Sweden/80260/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-21;;;
>EPI_ISL_158364|A/mallard/Sweden/80299/2008|A_/_H4N6;EPI_ISL_158364;A/mallard/Sweden/80299/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-21;;;
>EPI_ISL_158365|A/mallard/Sweden/80348/2008|A;EPI_ISL_158365;A/mallard/Sweden/80348/2008;A;Europe / Sweden;;;Anas platyrhynchos;2008-11-22;;;
>EPI_ISL_158366|A/mallard/Sweden/80389/2008|A_/_H4N6;EPI_ISL_158366;A/mallard/Sweden/80389/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-22;;;
>EPI_ISL_158368|A/mallard/Sweden/81019/2008|A_/_H4N6;EPI_ISL_158368;A/mallard/Sweden/81019/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-12-05;;;
>EPI_ISL_158373|A/mallard/Sweden/100881/2009|A_/_H4N6;EPI_ISL_158373;A/mallard/Sweden/100881/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-01;;;
>EPI_ISL_158374|A/mallard/Sweden/101010/2009|A_/_H4N6;EPI_ISL_158374;A/mallard/Sweden/101010/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-03;;;
>EPI_ISL_158375|A/mallard/Sweden/101081/2009|A_/_H4N6;EPI_ISL_158375;A/mallard/Sweden/101081/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-04;;;
>EPI_ISL_158376|A/mallard/Sweden/101180/2009|A_/_H4N6;EPI_ISL_158376;A/mallard/Sweden/101180/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-05;;;
>EPI_ISL_158378|A/mallard/Sweden/101298/2009|A_/_H4N6;EPI_ISL_158378;A/mallard/Sweden/101298/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-07;;;
>EPI_ISL_158379|A/mallard/Sweden/101329/2009|A_/_H4N6;EPI_ISL_158379;A/mallard/Sweden/101329/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-08;;;
>EPI_ISL_158380|A/mallard/Sweden/101431/2009|A_/_H4N6;EPI_ISL_158380;A/mallard/Sweden/101431/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-09;;;
>EPI_ISL_158381|A/mallard/Sweden/101504/2009|A_/_H4N6;EPI_ISL_158381;A/mallard/Sweden/101504/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-10;;;
>EPI_ISL_158382|A/mallard/Sweden/101524/2009|A_/_H4N6;EPI_ISL_158382;A/mallard/Sweden/101524/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-10;;;
>EPI_ISL_158383|A/mallard/Sweden/101564/2009|A_/_H4N6;EPI_ISL_158383;A/mallard/Sweden/101564/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-11;;;
